"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belize","BLZ","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","54.028","53.72","53.41","53.101","52.79","52.481","52.17","51.86","51.549","51.238","50.963","50.805","50.646","50.488","50.329","50.171","50.012","49.854","49.695","49.537","49.374","49.183","48.992","48.801","48.61","48.419","48.228","48.037","47.846","47.655","47.465","47.271","47.059","46.848","46.637","46.425","46.214","46.003","45.793","45.582","45.398","45.381","45.364","45.347","45.33","45.313","45.296","45.279","45.262","45.245","45.228","45.228","45.246","45.282","45.335","45.406","45.495","45.601","45.724","45.866","46.025","46.201","46.396","46.608","46.838",
"Bermuda","BMU","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Bolivia","BOL","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","36.762","37.059","37.357","37.656","37.957","38.257","38.559","38.862","39.166","39.47","39.776","40.082","40.389","40.696","41.004","41.314","41.624","42.446","43.442","44.443","45.451","46.459","47.472","48.486","49.504","50.519","51.535","52.549","53.563","54.571","55.577","56.579","57.541","58.079","58.615","59.15","59.682","60.212","60.739","61.264","61.787","62.306","62.783","63.248","63.711","64.17","64.628","65.082","65.535","65.984","66.43","66.874","67.315","67.699","68.047","68.393","68.738","69.08","69.425","69.773","70.123","70.475","70.83","71.186","71.545",
"Brazil","BRA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","46.139","47.122","48.099","49.078","50.059","51.037","52.016","52.993","53.97","54.94","55.909","56.894","57.879","58.855","59.826","60.789","61.745","62.689","63.625","64.551","65.468","66.37","67.262","68.142","69.01","69.862","70.703","71.529","72.342","73.139","73.922","74.69","75.444","76.181","76.903","77.61","78.302","79.048","79.781","80.496","81.192","81.553","81.88","82.203","82.521","82.834","83.143","83.448","83.749","84.044","84.335","84.631","84.923","85.209","85.492","85.77","86.042","86.309","86.569","86.824","87.073","87.317","87.555","87.788","88.016",
"Barbados","BRB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","36.777","36.849","36.922","36.995","37.068","37.141","37.214","37.287","37.36","37.433","37.55","37.809","38.07","38.331","38.592","38.855","39.118","39.381","39.646","39.91","40.102","39.828","39.554","39.28","39.007","38.736","38.464","38.194","37.923","37.654","37.37","37.006","36.643","36.283","35.924","35.566","35.21","34.856","34.503","34.152","33.827","33.629","33.431","33.234","33.037","32.841","32.646","32.451","32.256","32.063","31.87","31.7","31.553","31.429","31.328","31.249","31.193","31.159","31.147","31.158","31.191","31.246","31.324","31.425","31.548",
"Brunei Darussalam","BRN","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","43.401","45.228","47.07","48.92","50.776","52.625","54.469","56.3","58.118","59.908","61.675","63.412","63.736","63.889","64.041","64.193","64.345","64.496","64.647","64.798","64.949","65.099","65.249","65.399","65.548","65.697","65.846","65.994","66.143","66.29","66.438","66.585","67.078","67.604","68.126","68.644","69.158","69.666","70.17","70.669","71.164","71.652","72.046","72.421","72.794","73.163","73.529","73.892","74.252","74.608","74.961","75.31","75.656","75.997","76.332","76.663","76.99","77.312","77.629","77.942","78.25","78.554","78.854","79.149","79.439",
"Bhutan","BTN","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","3.596","3.792","3.999","4.217","4.446","4.687","4.94","5.207","5.487","5.781","6.089","6.413","6.754","7.11","7.484","7.876","8.288","8.717","9.168","9.639","10.132","10.646","11.184","11.745","12.332","12.941","13.577","14.24","14.929","15.645","16.388","17.161","17.962","18.791","19.649","20.537","21.456","22.401","23.377","24.383","25.418","26.48","27.57","28.688","29.835","30.965","31.712","32.469","33.236","34.01","34.793","35.585","36.371","37.149","37.918","38.678","39.428","40.167","40.895","41.612","42.316","43.008","43.686","44.35","45",
"Botswana","BWA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","3.06","3.097","3.134","3.171","3.318","3.839","4.437","5.124","5.912","6.81","7.834","8.998","9.695","10.381","11.11","11.884","12.705","13.572","14.489","15.457","16.479","17.552","19.489","21.723","24.139","26.724","29.483","32.401","35.467","38.648","41.933","45.292","46.443","47.286","48.133","48.981","49.83","50.677","51.525","52.372","53.219","54.062","54.57","55.029","55.488","55.944","56.4","57.928","59.444","60.937","62.412","63.865","64.768","65.572","66.368","67.155","67.933","68.7","69.446","70.172","70.877","71.56","72.224","72.867","73.49",
"Central African Republic","CAF","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","20.1","20.751","21.418","22.1","22.803","23.519","24.252","25","25.815","26.645","27.492","28.356","29.238","30.133","31.045","31.971","32.575","32.897","33.221","33.546","33.874","34.202","34.532","34.864","35.198","35.532","35.868","36.206","36.545","36.744","36.825","36.906","36.987","37.068","37.149","37.231","37.312","37.394","37.475","37.557","37.639","37.72","37.802","37.884","37.966","38.069","38.193","38.339","38.506","38.694","38.904","39.135","39.388","39.663","39.959","40.277","40.618","40.98","41.364","41.77","42.198","42.648","43.12","43.614","44.13",
"Canada","CAN","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","69.061","69.668","70.494","71.307","72.107","72.892","73.642","74.155","74.662","75.161","75.654","76.09","75.971","75.851","75.731","75.611","75.503","75.543","75.583","75.623","75.663","75.712","75.874","76.035","76.195","76.354","76.502","76.522","76.542","76.562","76.582","76.62","76.887","77.152","77.414","77.675","77.951","78.34","78.724","79.103","79.478","79.81","79.888","79.967","80.045","80.122","80.213","80.396","80.578","80.758","80.937","81.096","81.137","81.178","81.218","81.259","81.3","81.35","81.411","81.482","81.562","81.653","81.752","81.862","81.98",
